id,date
US10adam036,2019-12-15
US10adam056,2019-10-29
US10boon005,2019-11-11
US10boon010,2019-11-11
US10buff007,2019-11-27
US10burt002,2019-11-11
US10butl005,2019-12-10
US10butl008,2019-10-29
US10butl011,2019-11-11
US10cass001,2019-10-29
US10ceda002,2019-11-11
US10chas002,2019-10-28
US10chas003,2019-10-29
US10chas011,2019-10-29
US10chas012,2020-01-11
US10chas016,2019-10-30
US10cher018,2019-10-10
US10chey019,2019-10-11
US10chey021,2019-10-28
US10chey060,2019-10-11
US10clay004,2019-10-29
US10clay008,2019-10-29
US10clay029,2019-10-30
US10cumi012,2019-11-11
US10cust014,2019-11-11
US10cust015,2019-11-11
US10cust020,2019-11-11
US10cust022,2019-11-11
US10cust039,2019-10-30
US10cust045,2019-11-11
US10dawe006,2019-10-10
US10dawe007,2019-10-11
US10dawe015,2019-10-10
US10dawe026,2019-10-10
US10daws002,2019-10-31
US10daws008,2019-10-30
US10daws010,2019-10-30
US10daws011,2019-11-11
US10deue004,2019-10-28
US10doug006,2019-10-29
US10doug059,2019-10-29
US10dund010,2019-10-30
US10dund011,2019-10-29
US10dund023,2019-10-29
US10fill006,2019-10-29
US10fran007,2019-10-29
US10fran015,2019-10-30
US10fron010,2019-10-30
US10fron011,2019-10-30
US10fron017,2020-02-20
US10furn004,2019-10-29
US10furn008,2019-11-27
US10furn014,2019-10-30
US10gage003,2019-11-11
US10gage012,2020-01-11
US10gage013,2019-10-29
US10gage020,2019-12-16
US10garf004,2019-12-16
US10garf009,2019-11-11
US10gree004,2019-11-11
US10gree007,2019-11-11
US10gree010,2019-11-27
US10hall005,2019-10-29
US10hall007,2020-01-17
US10hall018,2019-11-11
US10hall020,2019-10-30
US10hall043,2019-11-26
US10hami001,2019-11-27
US10hami004,2019-11-27
US10hami017,2019-11-11
US10harl010,2019-11-27
US10haye003,2019-10-29
US10haye004,2019-10-29
US10hitc004,2019-10-29
US10hook002,2019-11-11
US10howa001,2019-12-29
US10howa002,2019-11-27
US10jeff003,2019-10-29
US10jeff006,2019-10-29
US10jeff014,2019-10-29
US10john001,2019-12-16
US10john002,2019-12-16
US10keit008,2019-10-30
US10keit015,2019-12-03
US10knox018,2019-11-27
US10lanc001,2019-11-27
US10lanc007,2019-10-29
US10lanc012,2019-10-29
US10lanc015,2020-01-11
US10lanc043,2019-11-27
US10lanc072,2019-10-29
US10linc003,2019-10-29
US10linc004,2019-10-30
US10linc033,2019-10-30
US10linc036,2019-12-15
US10linc060,2019-10-29
US10loga005,2019-11-11
US10madi006,2019-11-11
US10morr004,2020-02-04
US10nanc001,2019-11-27
US10nanc003,2019-11-11
US10nema002,2019-10-29
US10nema010,2019-12-16
US10nema014,2019-11-11
US10nuck002,2019-10-29
US10nuck005,2019-10-29
US10nuck016,2019-10-29
US10nuck035,2020-01-29
US10pawn013,2019-10-29
US10perk009,2019-10-30
US10perk012,2019-10-29
US10perk017,2019-10-28
US10perk023,2019-10-29
US10perk027,2019-11-21
US10perk037,2019-10-30
US10pier008,2019-12-09
US10plat023,2019-10-29
US10plat025,2019-10-29
US10polk001,2019-10-28
US10polk020,2019-10-29
US10red_019,2019-10-30
US10red_026,2019-10-30
US10rich001,2019-10-29
US10rich003,2019-10-29
US10rich007,2019-10-31
US10sali002,2020-01-17
US10sali011,2019-10-29
US10sarp006,2019-10-29
US10sarp016,2019-11-11
US10sarp031,2019-10-29
US10sarp039,2019-10-29
US10scot005,2019-10-10
US10scot014,2019-10-10
US10scot041,2019-10-29
US10sewa006,2019-11-27
US10sewa023,2019-10-31
US10shem001,2019-11-11
US10shem003,2019-10-29
US10shem012,2019-12-30
US10sher001,2019-10-27
US10sher005,2019-10-10
US10sher031,2019-10-10
US10thay007,2019-10-29
US10thay018,2019-10-31
US10thay027,2019-11-11
US10vall002,2019-11-27
US10vall003,2019-11-11
US10vall004,2019-11-11
US10vall009,2019-11-11
US10wash001,2019-12-01
US10wayn002,2019-11-11
US10webs009,2019-10-30
US10webs013,2019-11-27
US10york020,2019-10-31
US10york034,2019-10-29
US10york036,2019-10-30
US1AKAB0021,2019-11-17
US1AKAB0038,2019-11-16
US1AKAB0051,2019-11-17
US1AKAB0052,2019-10-17
US1AKAB0055,2019-10-11
US1AKAB0062,2019-10-11
US1AKFN0013,2019-10-03
US1AKFN0015,2019-10-04
US1AKFN0016,2019-10-25
US1AKFN0018,2019-10-03
US1AKJB0011,2019-12-16
US1AKJB0014,2020-01-07
US1AKMS0011,2019-10-06
US1AKMS0012,2019-11-17
US1AKMS0014,2019-11-17
US1AKMS0018,2019-10-27
US1AKPW0001,2020-01-02
US1AKSH0002,2019-11-07
US1AKVC0006,2019-11-01
US1ALBL0013,2020-02-07
US1ALBL0021,2019-12-11
US1ALCM0003,2019-12-11
US1ALCT0001,2019-12-11
US1ALCT0004,2019-12-11
US1ALDK0012,2020-02-09
US1ALDK0019,2020-02-09
US1ALJC0009,2019-11-12
US1ALJC0012,2019-12-11
US1ALLD0009,2019-12-11
US1ALLD0025,2019-11-12
US1ALLD0044,2019-12-11
US1ALLD0047,2019-12-11
US1ALLR0007,2019-12-11
US1ALLS0002,2019-12-11
US1ALLS0015,2019-12-11
US1ALLS0026,2019-12-11
US1ALMD0004,2019-12-11
US1ALMD0012,2019-12-11
US1ALMD0017,2019-12-11
US1ALMD0031,2019-12-11
US1ALMD0042,2019-12-11
US1ALMD0050,2019-12-11
US1ALMD0059,2019-12-11
US1ALMD0085,2019-12-11
US1ALMD0090,2019-11-12
US1ALMG0009,2019-12-11
US1ALMG0012,2019-12-11
US1ALMG0014,2019-12-11
US1ALMG0017,2019-12-11
US1ALMG0030,2020-02-08
US1ALWN0001,2019-12-11
US1ARBN0022,2019-10-31
US1ARBT0003,2019-11-12
US1ARBT0004,2020-01-22
US1ARBT0012,2020-01-22
US1ARBT0034,2020-02-06
US1ARBT0050,2020-01-12
US1ARBT0055,2020-01-22
US1ARBT0056,2020-01-24
US1ARBX0010,2019-11-12
US1ARBX0036,2019-11-12
US1ARBX0038,2020-02-06
US1ARCB0010,2020-02-06
US1ARCF0004,2020-01-22
US1ARCF0005,2020-01-22
US1ARCR0008,2019-11-12
US1ARCR0015,2019-11-12
US1ARCW0007,2020-02-06
US1ARFR0002,2020-01-22
US1ARFR0005,2020-01-22
US1ARIZ0003,2019-11-12
US1ARMD0002,2020-01-12
US1ARMR0015,2020-02-06
US1ARNW0012,2020-02-06
US1ARNW0013,2019-11-12
US1ARNW0014,2020-02-06
US1ARPP0013,2020-02-20
US1ARPS0026,2020-02-20
US1ARPS0058,2020-02-21
US1ARPS0071,2020-02-21
US1ARSB0004,2020-01-22
US1ARSH0011,2020-01-21
US1ARSR0008,2019-11-12
US1ARWS0035,2019-11-12
US1ARWS0036,2019-11-12
US1AZAP0003,2019-12-02
US1AZAP0007,2019-11-21
US1AZAP0013,2019-11-21
US1AZAP0014,2019-11-21
US1AZAP0018,2019-10-28
US1AZAP0028,2019-11-26
US1AZCH0008,2019-12-28
US1AZCH0017,2019-12-28
US1AZCH0027,2019-12-28
US1AZCH0049,2019-12-28
US1AZCH0051,2019-12-28
US1AZCH0057,2019-12-28
US1AZCH0072,2019-12-29
US1AZCN0003,2019-11-21
US1AZCN0014,2019-11-21
US1AZCN0019,2020-01-10
US1AZCN0020,2019-11-21
US1AZCN0027,2019-11-21
US1AZCN0033,2019-11-21
US1AZCN0046,2019-11-21
US1AZCN0060,2019-11-21
US1AZCN0061,2019-11-21
US1AZCN0066,2019-11-21
US1AZCN0069,2019-12-15
US1AZCN0075,2019-11-21
US1AZCN0077,2019-11-26
US1AZCN0079,2019-11-21
US1AZCN0088,2019-12-24
US1AZCN0092,2019-11-21
US1AZCN0095,2019-11-21
US1AZCN0113,2019-11-21
US1AZCN0122,2019-11-21
US1AZCN0132,2019-11-21
US1AZCN0147,2020-02-23
US1AZCN0148,2019-11-29
US1AZCN0149,2019-11-21
US1AZCN0153,2019-10-28
US1AZCN0154,2019-11-29
US1AZCN0155,2019-11-29
US1AZCN0156,2019-11-21
US1AZCN0158,2019-12-16
US1AZGH0004,2019-12-29
US1AZGL0004,2019-12-28
US1AZGL0012,2019-12-26
US1AZNV0007,2019-11-22
US1AZNV0009,2019-11-26
US1AZNV0010,2019-11-30
US1AZNV0012,2019-11-30
US1AZNV0013,2019-12-29
US1AZNV0018,2019-11-30
US1AZNV0020,2019-11-21
US1AZNV0024,2019-11-29
US1AZNV0035,2019-11-30
US1AZNV0042,2019-11-21
US1AZPM0204,2019-12-28
US1AZPN0049,2019-11-30
US1AZPN0072,2019-11-29
US1AZSC0012,2019-12-27
US1AZYV0001,2019-11-29
US1AZYV0028,2019-11-22
US1AZYV0032,2019-11-22
US1AZYV0042,2019-11-29
US1AZYV0043,2019-11-29
US1AZYV0049,2019-11-29
US1AZYV0052,2019-11-29
US1AZYV0061,2020-01-10
US1AZYV0063,2020-02-11
US1AZYV0067,2019-11-22
US1AZYV0068,2019-11-29
US1AZYV0076,2019-12-25
US1AZYV0081,2020-01-10
US1AZYV0087,2020-01-10
US1AZYV0091,2019-11-22
US1AZYV0092,2020-01-10
US1AZYV0096,2020-01-10
US1AZYV0108,2020-01-10
US1AZYV0113,2019-12-25
US1AZYV0115,2019-11-29
US1AZYV0122,2019-11-29
US1AZYV0124,2019-11-29
US1AZYV0125,2019-11-29
US1AZYV0129,2019-11-22
US1AZYV0133,2019-11-29
US1AZYV0138,2019-11-29
US1AZYV0142,2019-11-21
US1AZYV0152,2020-01-10
US1AZYV0162,2019-11-29
US1AZYV0166,2020-02-11
US1AZYV0169,2019-11-29
US1AZYV0174,2019-11-29
US1AZYV0175,2020-02-11
US1AZYV0176,2019-11-29
US1AZYV0177,2019-11-22
US1AZYV0179,2019-11-29
US1AZYV0184,2019-11-29
US1AZYV0187,2020-02-11
US1Buff2955,2019-10-30
US1CAAM0009,2019-11-27
US1CAED0010,2020-01-17
US1CAED0011,2019-11-27
US1CAED0012,2019-11-27
US1CAED0017,2019-11-27
US1CAED0020,2019-09-29
US1CAED0027,2019-11-27
US1CAFR0022,2020-01-17
US1CAHM0022,2020-01-16
US1CAHM0026,2019-12-15
US1CAHM0038,2019-11-27
US1CAHM0047,2019-11-27
US1CAHM0048,2020-01-16
US1CAHM0070,2020-01-16
US1CAHM0079,2019-11-27
US1CAHM0091,2020-01-16
US1CAIN0004,2019-11-27
US1CAIN0005,2019-11-27
US1CAIN0007,2019-11-27
US1CAIN0008,2019-11-27
US1CAIN0012,2019-11-27
US1CAIN0013,2019-11-27
US1CAKN0001,2019-11-27
US1CAKN0003,2019-11-28
US1CAKN0013,2019-11-27
US1CAKN0026,2019-11-27
US1CAKN0031,2019-11-27
US1CALS0001,2019-11-27
US1CAMA0004,2019-11-30
US1CAMA0012,2019-11-27
US1CAMA0016,2019-11-29
US1CAMC0004,2019-09-29
US1CAMD0001,2019-11-27
US1CAMD0017,2019-11-27
US1CAMD0022,2020-01-16
US1CAMD0040,2020-01-16
US1CAMN0001,2019-11-21
US1CAMN0004,2019-11-21
US1CAMN0005,2019-11-21
US1CAMP0001,2019-11-28
US1CAMP0002,2019-11-27
US1CAMT0042,2020-01-17
US1CANV0001,2020-01-17
US1CANV0022,2019-11-27
US1CANV0035,2019-11-27
US1CANV0041,2019-11-27
US1CANV0047,2019-09-29
US1CANV0051,2019-09-17
US1CANV0053,2019-11-27
US1CAPC0001,2019-09-17
US1CAPM0002,2019-11-27
US1CAPM0009,2019-09-29
US1CARV0018,2019-11-29
US1CASC0048,2020-01-17
US1CASD0054,2019-11-29
US1CASD0104,2019-12-26
US1CASD0105,2019-12-26
US1CASD0132,2019-11-29
US1CASD0195,2020-02-10
US1CASH0006,2019-11-27
US1CASH0069,2019-11-27
US1CASK0003,2019-11-27
US1CASK0004,2019-11-27
US1CASK0005,2019-11-27
US1CASK0010,2019-11-27
US1CASK0011,2019-11-27
US1CASK0020,2020-01-16
US1CASK0024,2019-11-27
US1CASR0005,2019-11-28
US1CASR0009,2019-12-27
US1CASR0014,2019-12-27
US1CASR0026,2019-11-29
US1CASR0027,2019-11-28
US1CASR0036,2019-11-21
US1CASR0044,2019-11-29
US1CASR0058,2019-11-21
US1CASR0066,2019-12-27
US1CASR0069,2019-11-29
US1CASR0079,2019-11-29
US1CATM0003,2019-11-27
US1CATM0005,2019-11-27
US1CATM0007,2019-11-29
US1CATY0006,2019-12-15
US1CATY0011,2020-01-16
US1CATY0028,2019-11-27
US1CAVT0002,2019-11-20
US1CAYB0001,2019-11-27
US1COAD0022,2019-10-11
US1COAD0087,2019-10-10
US1COAD0100,2019-10-11
US1COAD0119,2019-10-28
US1COAD0120,2019-10-11
US1COAD0123,2019-10-11
US1COAD0127,2019-10-10
US1COAD0153,2019-10-11
US1COAD0154,2019-10-10
US1COAD0170,2019-10-11
US1COAD0179,2019-10-28
US1COAD0204,2019-10-11
US1COAD0207,2019-10-28
US1COAD0216,2019-10-10
US1COAD0225,2019-10-10
US1COAD0238,2019-10-24
US1COAD0241,2019-10-28
US1COAM0001,2019-10-30
US1COAM0010,2019-11-26
US1COAM0021,2019-10-31
US1COAM0031,2019-10-30
US1COAM0033,2019-10-29
US1COAM0035,2019-10-30
US1COAM0036,2019-10-30
US1COAR0043,2019-10-10
US1COAR0056,2019-11-27
US1COAR0070,2019-10-11
US1COAR0071,2020-01-28
US1COAR0085,2019-10-11
US1COAR0099,2019-10-11
US1COAR0105,2019-10-10
US1COAR0164,2019-10-10
US1COAR0207,2019-10-10
US1COAR0214,2019-10-10
US1COAR0217,2019-10-10
US1COAR0224,2019-10-28
US1COAR0245,2019-10-10
US1COAR0249,2019-10-11
US1COAR0259,2019-10-24
US1COAR0262,2019-10-11
US1COAR0266,2019-10-11
US1COAR0270,2019-10-11
US1COAR0273,2019-10-10
US1COAR0277,2019-10-11
US1COAR0286,2019-10-10
US1COAR0288,2019-10-11
US1COAR0290,2019-10-11
US1COAR0292,2019-10-10
US1COAR0308,2019-10-11
US1COAR0313,2019-10-11
US1COAR0314,2020-01-28
US1COAR0319,2019-10-24
US1COAR0321,2019-10-28
US1COAR0340,2019-10-11
US1COAR0344,2019-10-11
US1COAR0356,2019-10-10
US1COAR0358,2019-10-24
US1COAR0365,2020-01-30
US1COAR0371,2019-10-24
US1COAR0373,2019-10-28
US1COAR0376,2019-10-24
US1COAU0026,2019-11-21
US1COAU0028,2019-10-28
US1COAU0033,2019-10-28
US1COAU0037,2019-10-28
US1COAU0039,2019-10-28
US1COAU0045,2019-10-28
US1COAU0047,2019-12-16
US1COAU0048,2019-12-25
US1COBA0009,2019-10-24
US1COBA0019,2019-10-30
US1COBA0023,2019-10-24
US1COBN0008,2020-02-20
US1COBO0002,2019-10-10
US1COBO0004,2019-10-10
US1COBO0008,2019-10-10
US1COBO0009,2019-11-26
US1COBO0014,2019-10-10
US1COBO0018,2019-10-24
US1COBO0019,2019-10-10
US1COBO0022,2019-10-10
US1COBO0030,2019-10-10
US1COBO0035,2019-12-28
US1COBO0041,2019-10-11
US1COBO0057,2019-10-10
US1COBO0067,2019-10-10
US1COBO0072,2019-10-10
US1COBO0075,2019-10-10
US1COBO0076,2019-12-28
US1COBO0084,2019-10-10
US1COBO0092,2019-10-10
US1COBO0099,2019-10-11
US1COBO0110,2019-10-10
US1COBO0120,2019-11-21
US1COBO0135,2019-10-10
US1COBO0137,2019-10-10
US1COBO0143,2019-10-10
US1COBO0146,2019-10-10
US1COBO0149,2019-10-10
US1COBO0159,2019-10-10
US1COBO0165,2019-10-24
US1COBO0202,2019-10-10
US1COBO0220,2019-10-10
US1COBO0222,2019-10-10
US1COBO0230,2019-10-10
US1COBO0233,2019-10-10
US1COBO0248,2019-10-10
US1COBO0254,2019-10-24
US1COBO0266,2019-10-10
US1COBO0271,2019-10-11
US1COBO0282,2019-10-10
US1COBO0285,2019-10-10
US1COBO0286,2019-10-10
US1COBO0290,2019-10-28
US1COBO0292,2019-10-24
US1COBO0296,2019-10-10
US1COBO0298,2019-10-10
US1COBO0306,2020-02-04
US1COBO0322,2019-10-10
US1COBO0331,2019-10-10
US1COBO0338,2019-10-11
US1COBO0342,2019-10-11
US1COBO0343,2019-10-10
US1COBO0351,2019-10-10
US1COBO0352,2019-10-10
US1COBO0355,2019-10-10
US1COBO0361,2019-10-10
US1COBO0367,2019-10-11
US1COBO0373,2019-11-26
US1COBO0378,2019-10-20
US1COBO0380,2019-10-27
US1COBO0391,2019-10-24
US1COBO0394,2019-10-10
US1COBO0401,2019-10-10
US1COBO0402,2020-02-05
US1COBO0409,2019-10-10
US1COBO0435,2019-10-10
US1COBO0437,2019-10-10
US1COBO0441,2019-10-29
US1COBO0442,2019-10-10
US1COBO0443,2019-10-10
US1COBO0445,2019-10-10
US1COBO0448,2019-10-10
US1COBO0452,2019-10-11
US1COBO0455,2019-10-10
US1COBO0456,2019-10-10
US1COBO0457,2019-10-10
US1COBO0464,2019-10-24
US1COBO0465,2019-10-10
US1COBO0468,2019-10-10
US1COBO0469,2019-10-24
US1COBO0472,2019-10-10
US1COBO0476,2019-10-24
US1COBO0477,2019-10-10
US1COBO0479,2019-10-24
US1COBO0481,2019-11-26
US1COBO0482,2019-10-10
US1COBO0485,2019-10-24
US1COBO0490,2019-10-10
US1COBO0491,2019-10-10
US1COBO0494,2019-10-11
US1COBO0495,2019-10-30
US1COBO0496,2019-10-10
US1COBO0497,2019-10-24
US1COBO0504,2019-10-11
US1COBO0507,2019-10-10
US1COBO0514,2019-10-11
US1COBO0521,2020-02-18
US1COBO0527,2019-11-11
US1COBR0013,2019-11-26
US1COBR0032,2019-10-24
US1COBR0040,2019-10-11
US1COBR0048,2020-01-31
US1COCC0001,2019-10-10
US1COCC0002,2019-10-10
US1COCC0007,2019-10-10
US1COCC0018,2019-10-02
US1COCC0022,2019-10-10
US1COCC0027,2019-10-20
US1COCF0005,2019-10-12
US1COCF0006,2019-10-20
US1COCF0015,2019-10-24
US1COCF0019,2019-10-20
US1COCF0020,2019-10-28
US1COCF0025,2019-10-11
US1COCF0041,2019-10-20
US1COCF0053,2019-10-20
US1COCF0054,2019-10-20
US1COCF0055,2019-10-11
US1COCF0056,2019-10-20
US1COCF0061,2019-10-21
US1COCF0064,2019-10-28
US1COCF0065,2019-11-22
US1COCH0024,2019-10-30
US1COCH0028,2019-10-29
US1COCH0031,2019-10-30
US1COCH0034,2019-11-22
US1COCH0042,2020-02-20
US1COCN0006,2019-10-29
US1COCR0008,2019-10-24
US1COCR0015,2019-11-22
US1COCS0011,2019-11-22
US1COCS0012,2019-11-27
US1COCS0019,2019-10-24
US1COCS0031,2019-10-11
US1COCS0032,2019-10-24
US1COCU0025,2019-10-11
US1COCU0026,2019-10-24
US1COCU0028,2019-10-24
US1COCU0033,2019-10-18
US1COCU0036,2019-10-24
US1CODG0030,2019-10-10
US1CODG0062,2019-10-11
US1CODG0067,2019-11-11
US1CODG0074,2019-10-10
US1CODG0133,2019-10-11
US1CODG0146,2019-10-11
US1CODG0157,2019-10-24
US1CODG0158,2019-10-11
US1CODG0162,2019-10-11
US1CODG0165,2019-10-10
US1CODG0167,2019-10-10
US1CODG0174,2019-10-24
US1CODG0176,2019-10-24
US1CODG0178,2019-10-11
US1CODG0180,2019-11-22
US1CODG0185,2019-10-11
US1CODG0192,2019-10-10
US1CODG0196,2019-10-11
US1CODG0207,2019-10-10
US1CODG0218,2019-10-10
US1CODG0226,2019-10-11
US1CODG0228,2019-10-10
US1CODG0229,2019-10-11
US1CODG0231,2019-10-10
US1CODG0245,2019-10-11
US1CODG0250,2019-10-24
US1CODG0253,2019-10-11
US1CODG0255,2019-11-22
US1CODG0281,2019-10-11
US1CODG0282,2019-10-28
US1CODG0292,2019-10-24
US1CODG0293,2019-10-11
US1CODG0294,2019-10-11
US1CODG0295,2019-11-26
US1CODG0298,2019-10-11
US1CODG0302,2019-10-24
US1CODG0307,2020-02-07
US1CODL0016,2019-10-28
US1CODL0021,2019-10-29
US1CODL0022,2019-11-26
US1CODL0025,2019-10-10
US1CODL0026,2019-10-28
US1CODL0040,2019-10-28
US1CODL0043,2019-10-10
US1CODL0045,2019-10-10
US1CODL0048,2019-10-10
US1CODL0049,2019-10-28
US1CODL0060,2019-10-28
US1CODN0016,2019-10-11
US1CODN0025,2019-10-10
US1CODN0030,2019-10-24
US1CODN0049,2019-10-11
US1CODN0074,2019-10-29
US1CODN0079,2019-10-11
US1CODN0103,2019-10-11
US1CODN0112,2019-10-10
US1CODN0120,2019-10-10
US1CODN0141,2019-10-11
US1CODN0175,2019-10-11
US1CODN0177,2019-10-11
US1CODN0183,2019-10-11
US1CODN0231,2019-10-24
US1CODN0235,2019-10-28
US1CODN0236,2019-10-24
US1CODN0259,2019-10-28
US1CODN0261,2019-11-27
US1CODN0264,2019-10-11
US1CODN0269,2019-10-11
US1CODN0280,2019-10-10
US1CODN0282,2019-11-22
US1CODR0003,2019-10-28
US1CODR0014,2019-10-28
US1COEG0003,2019-10-10
US1COEG0006,2019-10-10
US1COEG0008,2019-10-10
US1COEG0019,2019-10-10
US1COEG0021,2019-10-10
US1COEG0029,2019-10-10
US1COEG0031,2019-11-22
US1COEG0037,2019-10-10
US1COEG0047,2019-10-10
US1COEG0051,2019-10-10
US1COEG0052,2019-11-22
US1COEG0053,2019-10-10
US1COEG0055,2019-10-10
US1COEG0057,2020-02-08
US1COEL0005,2019-10-11
US1COEL0010,2019-10-11
US1COEL0017,2019-10-11
US1COEL0036,2019-10-24
US1COEL0046,2019-10-11
US1COEL0049,2019-10-11
US1COEL0059,2019-10-30
US1COEL0062,2019-10-24
US1COEL0063,2019-10-11
US1COEL0075,2019-10-24
US1COEL0076,2019-10-24
US1COEL0078,2019-10-24
US1COEL0084,2019-10-24
US1COEL0085,2019-10-11
US1COEL0089,2019-10-11
US1COEL0090,2019-10-11
US1COEL0095,2019-11-22
US1COEP0007,2019-10-11
US1COEP0017,2019-10-11
US1COEP0024,2019-10-11
US1COEP0037,2019-10-11
US1COEP0055,2019-10-11
US1COEP0058,2019-10-11
US1COEP0060,2019-11-26
US1COEP0061,2019-10-11
US1COEP0064,2019-10-11
US1COEP0066,2019-10-11
US1COEP0158,2019-10-11
US1COEP0175,2019-10-24
US1COEP0180,2019-10-11
US1COEP0183,2019-10-11
US1COEP0188,2019-10-11
US1COEP0189,2019-10-11
US1COEP0192,2019-10-11
US1COEP0194,2019-10-11
US1COEP0202,2019-10-11
US1COEP0207,2019-10-11
US1COEP0210,2019-10-11
US1COEP0226,2019-10-11
US1COEP0228,2019-10-11
US1COEP0230,2019-10-29
US1COEP0234,2019-10-11
US1COEP0235,2019-10-11
US1COEP0247,2019-10-28
US1COEP0256,2019-11-22
US1COEP0258,2019-10-11
US1COEP0264,2019-10-11
US1COEP0271,2019-10-11
US1COEP0282,2019-10-11
US1COEP0285,2019-10-24
US1COEP0287,2019-11-26
US1COEP0291,2019-10-24
US1COEP0303,2019-10-11
US1COEP0309,2019-10-11
US1COEP0311,2019-10-11
US1COEP0320,2019-10-11
US1COEP0333,2019-12-16
US1COEP0337,2019-10-28
US1COEP0343,2019-10-11
US1COEP0344,2019-10-11
US1COEP0345,2019-12-16
US1COEP0347,2019-10-11
US1COEP0354,2019-10-11
US1COEP0356,2019-10-11
US1COEP0357,2019-10-11
US1COEP0359,2019-10-11
US1COEP0362,2019-10-24
US1COEP0365,2019-10-11
US1COEP0370,2019-10-24
US1COEP0371,2019-10-11
US1COEP0376,2019-10-11
US1COEP0378,2019-10-11
US1COEP0382,2019-10-24
US1COEP0384,2019-11-26
US1COEP0385,2019-10-11
US1COEP0387,2019-10-11
US1COEP0388,2019-10-24
US1COEP0389,2019-10-11
US1COEP0392,2019-10-10
US1COEP0395,2019-10-28
US1COEP0396,2019-10-11
US1COEP0402,2019-10-11
US1COEP0412,2019-10-11
US1COEP0416,2019-10-11
US1COEP0417,2019-10-24
US1COEP0418,2019-10-11
US1COEP0420,2019-10-11
US1COFM0001,2019-10-24
US1COFM0008,2019-10-11
US1COFM0011,2019-10-24
US1COFM0019,2019-10-11
US1COFM0021,2019-10-11
US1COFM0034,2019-10-11
US1COFM0050,2019-10-11
US1COFM0059,2019-10-11
US1COFM0071,2019-10-28
US1COFM0073,2019-10-11
US1COFM0077,2019-10-11
US1COFM0096,2019-10-11
US1COFM0101,2019-11-22
US1COGF0001,2019-10-10
US1COGF0033,2019-10-24
US1COGF0040,2019-10-10
US1COGF0046,2020-01-12
US1COGF0047,2019-10-10
US1COGF0049,2019-10-10
US1COGF0060,2019-10-21
US1COGF0067,2019-10-28
US1COGF0071,2019-12-05
US1COGF0073,2019-10-10
US1COGF0077,2019-10-28
US1COGF0081,2019-10-28
US1COGF0082,2019-10-28
US1COGF0083,2019-12-26
US1COGL0010,2020-02-03
US1COGL0017,2019-10-10
US1COGL0020,2019-10-10
US1COGL0023,2019-10-10
US1COGL0025,2019-10-10
US1COGN0018,2019-10-10
US1COGN0039,2019-10-24
US1COGN0040,2019-10-20
US1COGN0049,2019-10-28
US1COGN0052,2019-10-29
US1COGN0058,2019-10-10
US1COGN0059,2019-10-11
US1COGN0066,2019-10-20
US1COGN0068,2019-10-20
US1COGR0005,2019-10-21
US1COGR0029,2019-10-10
US1COGR0046,2019-10-10
US1COGR0052,2019-10-10
US1COGR0053,2019-10-10
US1COGR0068,2019-10-20
US1COGR0073,2019-10-10
US1COHF0003,2019-10-24
US1COHF0014,2019-10-24
US1COHF0021,2019-10-24
US1COHF0027,2019-12-16
US1COHF0032,2019-10-24
US1COHF0041,2019-10-24
US1COHF0047,2019-10-24
US1COJF0001,2019-10-11
US1COJF0003,2019-10-24
US1COJF0011,2019-10-24
US1COJF0020,2019-10-27
US1COJF0051,2019-10-10
US1COJF0052,2019-10-10
US1COJF0053,2019-10-10
US1COJF0061,2019-10-10
US1COJF0063,2019-10-10
US1COJF0072,2019-10-11
US1COJF0078,2019-10-11
US1COJF0081,2019-10-10
US1COJF0128,2019-10-10
US1COJF0157,2019-10-10
US1COJF0179,2019-10-11
US1COJF0184,2019-10-11
US1COJF0201,2019-11-11
US1COJF0212,2019-10-10
US1COJF0217,2019-10-24
US1COJF0222,2019-10-10
US1COJF0240,2019-10-10
US1COJF0251,2019-10-11
US1COJF0256,2019-10-24
US1COJF0267,2019-10-10
US1COJF0290,2019-10-10
US1COJF0318,2019-10-10
US1COJF0331,2019-10-10
US1COJF0332,2019-10-11
US1COJF0333,2019-10-11
US1COJF0335,2019-10-24
US1COJF0338,2019-10-24
US1COJF0343,2019-10-11
US1COJF0354,2019-10-11
US1COJF0359,2019-10-11
US1COJF0376,2019-10-10
US1COJF0386,2019-11-11
US1COJF0391,2019-10-10
US1COJF0395,2019-10-10
US1COJF0399,2019-10-11
US1COJF0403,2019-10-24
US1COJF0407,2019-10-10
US1COJF0410,2019-10-11
US1COJF0414,2019-10-10
US1COJF0424,2019-10-10
US1COJF0425,2019-10-10
US1COJF0427,2019-10-11
US1COJF0428,2019-10-11
US1COJF0430,2019-10-10
US1COJF0433,2019-10-10
US1COJF0444,2019-10-24
US1COJF0455,2019-10-10
US1COJF0456,2019-10-10
US1COJF0457,2019-10-11
US1COJF0470,2019-10-11
US1COJF0471,2019-10-11
US1COJF0474,2019-10-11
US1COJF0484,2019-10-20
US1COJF0486,2019-10-10
US1COJF0488,2019-10-11
US1COJF0489,2019-10-28
US1COJF0496,2020-02-04
US1COJF0497,2019-10-10
US1COJF0499,2019-10-24
US1COJF0501,2019-10-11
US1COJF0503,2020-01-31
US1COJF0526,2019-12-11
US1COJK0023,2019-10-10
US1COJK0028,2019-10-10
US1COKC0050,2019-10-29
